file,action,brand,name,reason
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 36 Clean Face Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 36 Clean Face Basic MV","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 36 Clean Face Basic GSB","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 4415 High Output Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 6015 High Output Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 864 TV 40 k Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 864 Trv 31 k","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 564 Trv 35 k Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 564 Trv 25 k","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 42 Linear Basic GSB","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 54 Linear Basic GSB","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 72 Linear Basic GSB","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 72 Linear Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 4415 See Thru High Output Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 4237 Ember Glo Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 4237 Eg Cf","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 864 TV 40 k Clean Face Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 864 Trv 31 k Clean Face Deluxe","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Probuilder 36 Clean Face Seethru","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 564 TV 35 k Deluxe Clean Face","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 564 Trv 25 k Clean Face","not current / duplicate FPX gas model"
"gas-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 564 TV HO","not current / duplicate FPX gas model"
"wood-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Large Flush Wood Arched Nex Gen Hybrid™","duplicate/variant or discontinued FPX wood fireplace"
"wood-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Large Flush Wood Rectangular Nex Gen Hybrid™","duplicate/variant or discontinued FPX wood fireplace"
"wood-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Medium Flush Wood Rectangular Nex Gen Hybrid™","duplicate/variant or discontinued FPX wood fireplace"
"wood-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair Medium Flush Wood Arched Nex Gen Hybrid™","duplicate/variant or discontinued FPX wood fireplace"
"wood-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 36 Elite","duplicate/variant or discontinued FPX wood fireplace"
"wood-fireplaces-scraped.json","remove","Fireplace Xtrordinair","Fireplace Xtrordinair 44 Elite","duplicate/variant or discontinued FPX wood fireplace"
"wood-stoves-scraped.json","remove","Lopi","Lopi Large Flush Wood Nex Gen Hybrid™ Arched","not current Lopi wood stove / belongs in inserts"
"wood-stoves-scraped.json","remove","Lopi","Lopi Large Flush Wood Nex Gen Hybrid™ Rectangular","not current Lopi wood stove / belongs in inserts"
"wood-stoves-scraped.json","remove","Lopi","Lopi Medium Flush Wood Nex Gen Hybrid™ Rectangular","not current Lopi wood stove / belongs in inserts"
"wood-stoves-scraped.json","remove","Lopi","Lopi Medium Flush Wood Nex Gen Hybrid™ Arched","not current Lopi wood stove / belongs in inserts"
"wood-stoves-scraped.json","remove","Lopi","Lopi Liberty Nex Gen Fyre™","not current Lopi wood stove / belongs in inserts"
"wood-stoves-scraped.json","remove","Lopi","Lopi Cape Cod Flush Wood Hybrid™ Fyre™","not current Lopi wood stove / belongs in inserts"
